image_path,question_type,question,answer
images/war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Путін оголосив війну Україні
images/war-and-peace.png,event_ua,Про яку подію йдеться у цьому мемі?,Російська влада заборонила називати російське вторгнення &quot;війною&quot;. Це спеціальна військова операція
images/scale-of-ukrainian-heroism.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"Через кілька днів стало зрозуміло, що Україна все ще тримається"
images/ghost-of-kyiv.png,event_ua,Про яку подію йдеться у цьому мемі?,"Росія не змогла встановити перевагу в повітрі в Україні, коли почалася війна"
images/sunflower-seeds.webp,event_ua,Про яку подію йдеться у цьому мемі?,"Українка сказала російському солдату: «Поклади соняшникове насіння в кишеню, щоб воно виросло, коли ти помреш»"
images/mriya.webp,event_ua,Про яку подію йдеться у цьому мемі?,Знищений російськими окупантами легендарний український літак АН-225 Мрія
images/palyanytsia.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Швидко та ефективно відрізнити українців від росіян стало дуже важливо
images/russian-warship-go-fck-yourself.jpg,event_ua,Про яку подію йдеться у цьому мемі?,24 лютого російський ракетний корабель «Москва» з 13 прикордонниками наблизився до українського острова Зміїний
images/the-simpsons-support-ukraine.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Офіційний акаунт Сімпсонів підтримав Україну 26 лютого
images/chocolate-anti-tank-hedgehogs.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Початок війни. Установка їжаків в містах
images/have-they-surrendered.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Ідея Росії захопити Україну за кілька днів чи тижнів з тріском провалилася
images/how-it-started.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Російська армія не змогла здобути Київ
images/sleep-well-little-tank.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Українські хлібороби вступили в боротьбу проти російської армії
images/russian-army.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Російська армія показала свою слабкість
images/kyiv-in-3-days.jpeg,event_ua,Про яку подію йдеться у цьому мемі?,Росія планувала захопити Київ за 3 дні. Але це не могло
images/capture-ukraine-in-2-weeks.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"Росіяни планували захопити Київ за 3 дні, а Україну – за 2 тижні. Мабуть, щось пішло не так."
images/tractor-and-tank.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Українські хлібороби вступили в боротьбу проти російської армії
images/ukrainian-resilience.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"Всупереч очікуванням західних експертів і політиків, Україна не піддалася російському вторгненню"
images/air-raid-alert.png,event_ua,Про яку подію йдеться у цьому мемі?,Росія постійно ракетно атакує Україну
images/moskva.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Збройні сили України потопили російський військовий корабель &quot;Москва&quot;.
images/russian-military-traditions.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"Коли російські війська відступали з Київщини, вони вкрали все: від телевізорів до туалетів і пральних машин"
images/moskva-for-rent.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Збройні сили України потопили російський військовий корабель &quot;Москва&quot;.
images/medvedchuk-everywhere.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Співробітники Служби безпеки України затримали близького соратника Путіна та українського політика Віктора Медведчука
images/medvedchuk.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Співробітники Служби безпеки України затримали близького соратника Путіна та українського політика Віктора Медведчука
images/russian-troops-in-chornobyl.webp,event_ua,Про яку подію йдеться у цьому мемі?,"Виявилося, що російські військові копали окопи в Чорнобильській зоні"
images/borodianka-cat.webp,event_ua,Про яку подію йдеться у цьому мемі?,Після звільнення Київської області українські рятувальники врятували кота з верхніх поверхів зруйнованого будинку
images/cabinet-and-ceramic-rooster-from-borodianka.jpg,event_ua,Про яку подію йдеться у цьому мемі?,У Бородянці Київської області Росія розбомбила житловий будинок. Збереглася лише кухонна шафа
images/goodwill-gesture.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Російська армія не змогла втримати позицій і відступила з острова Зміїний
images/may-9.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Росія святкує День Перемоги 9 травня 2022 року
images/belgorod.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Росія повідомляє про обстріл російського міста Бєлгород
images/2022.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"Росія помилялася, вважаючи, що Україна стане легкою мішенню"
images/russian-soldiers-lifecycle.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Російська армія зазнає значних втрат
images/european-charles-michel-and-ukrainian-denys-shmygal.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Президент Європейської Ради Шарль Мішель відвідав Київ
images/stefania.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Український гурт Kalush Orchestra переміг на пісенному конкурсі Євробачення 2022
images/bavovna-2.webp,event_ua,Про яку подію йдеться у цьому мемі?,Росія теж пережила війну – вибухи в російських містах Брянську та Бєлгороді
images/macron.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Еммануель Макрон відвідав Київ
images/himars-training.jpg,event_ua,Про яку подію йдеться у цьому мемі?,США розпочали тренінги для українських військових з використання HIMARS
images/waiting-for-himars.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"США заявили, що надішлють Україні ракетні комплекси HIMARS"
images/100-days-of-war.jpg,event_ua,Про яку подію йдеться у цьому мемі?,100 днів триває війна
images/borshch.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Український борщ внесли до списку культурної спадщини ЮНЕСКО
images/himars-infrastructure.jpg,event_ua,Про яку подію йдеться у цьому мемі?,ХІМАРС став дуже ефективним інструментом у знищенні російської військової інфраструктури
images/antonivskiy-bridge.png,event_ua,Про яку подію йдеться у цьому мемі?,Майже щодня ЗСУ обстрілюють ключовий міст на Херсонщині
images/lada-cars.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Родичам російських військових КІА в якості компенсації дісталися автомобілі Lada
images/smiling-himars.jpg,event_ua,Про яку подію йдеться у цьому мемі?,"США заявили, що відправлять в Україну ракетні комплекси HIMARS"
images/himars-oclock.jpg,event_ua,Про яку подію йдеться у цьому мемі?,Українці успішно використовують HIMARS для ударів по ворогу
images/just-do-it.jpg,event_ua,Про яку подію йдеться у цьому мемі?,HIMARS виявився надзвичайно ефективним
